ts,tracked50_views,n_videos
2026-08-25T03:30:57+00:00,3433015,46
2026-08-25T03:31:57+00:00,3433033,46
2026-08-25T03:32:57+00:00,3433039,46
2026-08-25T03:33:58+00:00,3433039,46
2026-08-25T03:34:58+00:00,3433041,46
2026-08-25T03:35:58+00:00,3433042,46
2026-08-25T03:36:58+00:00,3433041,46
2026-08-25T03:37:58+00:00,3433044,46
2026-08-25T03:38:58+00:00,3433051,46
2026-08-25T03:39:58+00:00,3433059,46
2026-08-25T03:40:58+00:00,3433057,46
2026-08-25T03:41:58+00:00,3433058,46
2026-08-25T03:42:59+00:00,3433061,46
2026-08-25T03:43:59+00:00,3433072,46
2026-08-25T03:44:59+00:00,3433080,46
2026-08-25T03:45:59+00:00,3433079,46
2026-08-25T03:46:59+00:00,3433080,46
2026-08-25T03:47:59+00:00,3433083,46
2026-08-25T03:48:59+00:00,3433089,46
2026-08-25T03:49:59+00:00,3433099,46
2026-08-25T03:50:59+00:00,3433099,46
2026-08-25T03:52:00+00:00,3433097,46
2026-08-25T03:53:00+00:00,3433103,46
2026-08-25T03:54:00+00:00,3433110,46
2026-08-25T03:55:00+00:00,3433117,46
2026-08-25T03:56:00+00:00,3433115,46
2026-08-25T03:57:00+00:00,3433115,46
2026-08-25T03:58:01+00:00,3433119,46
2026-08-25T03:59:01+00:00,3433127,46
2026-08-25T04:00:01+00:00,3433131,46
2026-08-25T04:01:01+00:00,3433131,46
2026-08-25T04:02:01+00:00,3433129,46
2026-08-25T04:03:01+00:00,3433130,46
2026-08-25T04:04:01+00:00,3433134,46
2026-08-25T04:05:01+00:00,3433137,46
2026-08-25T04:06:02+00:00,3433139,46
2026-08-25T04:07:02+00:00,3433139,46
2026-08-25T04:08:02+00:00,3433139,46
2026-08-25T04:09:02+00:00,3433142,46
2026-08-25T04:10:02+00:00,3433143,46
2026-08-25T04:11:02+00:00,3433143,46
2026-08-25T04:12:02+00:00,3433144,46
2026-08-25T04:13:03+00:00,3433142,46
2026-08-25T04:14:03+00:00,3433145,46
2026-08-25T04:15:03+00:00,3433151,46
2026-08-25T04:16:03+00:00,3433153,46
2026-08-25T04:17:03+00:00,3433149,46
2026-08-25T04:18:03+00:00,3433151,46
2026-08-25T04:19:03+00:00,3433156,46
2026-08-25T04:20:03+00:00,3433168,46
2026-08-25T04:21:04+00:00,3433168,46
2026-08-25T04:22:04+00:00,3433165,46
